dataset,rep,M,S,MS,K_star,rf_acc,rf_rmin,rf_rmaj,Kstar_acc,Kstar_rmin,Kstar_rmaj,K0_acc,K0_rmin,K0_rmaj,K10_acc,K10_rmin,K10_rmaj,K20_acc,K20_rmin,K20_rmaj,K30_acc,K30_rmin,K30_rmaj
hepatitis,26,0.120690,0.262383,0.031667,0,0.800000,0.000000,1.000000,0.800000,0.000000,1.000000,0.800000,0.000000,1.000000,0.800000,0.000000,1.000000,0.800000,0.000000,1.000000,0.800000,0.000000,1.000000
hepatitis,27,0.155172,0.102590,0.015919,0,0.880000,0.600000,0.950000,0.880000,0.600000,0.950000,0.880000,0.600000,0.950000,0.880000,0.600000,0.950000,0.880000,0.600000,0.950000,0.880000,0.600000,0.950000
hepatitis,28,0.120690,0.190171,0.022952,30,0.800000,0.200000,0.950000,0.800000,0.200000,0.950000,0.800000,0.200000,0.950000,0.800000,0.200000,0.950000,0.800000,0.200000,0.950000,0.800000,0.200000,0.950000
hepatitis,29,0.120690,0.138667,0.016736,0,0.960000,0.800000,1.000000,0.960000,0.800000,1.000000,0.960000,0.800000,1.000000,0.960000,0.800000,1.000000,0.960000,0.800000,1.000000,0.960000,0.800000,1.000000
wine,0,0.021978,0.000000,0.000000,0,0.948718,0.888889,1.000000,0.948718,0.888889,1.000000,0.948718,0.888889,1.000000,0.948718,0.888889,1.000000,0.948718,0.888889,1.000000,0.948718,0.888889,1.000000
wine,1,0.021978,0.000000,0.000000,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
wine,2,0.032967,0.000000,0.000000,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
wine,3,0.021978,0.000000,0.000000,0,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381
wine,4,0.000000,0.000000,0.000000,0,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381
wine,5,0.010989,0.000000,0.000000,0,0.974359,0.944444,1.000000,0.974359,0.944444,1.000000,0.974359,0.944444,1.000000,0.974359,0.944444,1.000000,0.974359,0.944444,1.000000,0.974359,0.944444,1.000000
wine,6,0.021978,0.620098,0.013629,0,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381
wine,7,0.032967,0.359559,0.011854,0,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381
wine,8,0.021978,0.000000,0.000000,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
wine,9,0.021978,0.000000,0.000000,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
wine,10,0.021978,0.000000,0.000000,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
wine,11,0.021978,0.000000,0.000000,0,0.974359,0.944444,1.000000,0.974359,0.944444,1.000000,0.974359,0.944444,1.000000,0.974359,0.944444,1.000000,0.974359,0.944444,1.000000,0.974359,0.944444,1.000000
wine,12,0.032967,0.393085,0.012959,0,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381
