dataset,rep,M,S,MS,rf_acc,rf_rmin,rf_rmaj,K0_alpha,K0_acc,K0_rmin,K0_rmaj,K10_alpha,K10_acc,K10_rmin,K10_rmaj,K20_alpha,K20_acc,K20_rmin,K20_rmaj,K30_alpha,K30_acc,K30_rmin,K30_rmaj
hepatitis,25,0.103448,0.140267,0.014510,0.880000,0.600000,0.950000,1.000000,0.880000,0.600000,0.950000,1.145104,0.880000,0.600000,0.950000,1.290208,0.880000,0.600000,0.950000,1.435312,0.880000,0.600000,0.950000
hepatitis,26,0.120690,0.262383,0.031667,0.800000,0.000000,1.000000,1.000000,0.800000,0.000000,1.000000,1.316669,0.800000,0.000000,1.000000,1.633338,0.800000,0.000000,1.000000,1.950007,0.800000,0.000000,1.000000
hepatitis,27,0.155172,0.102590,0.015919,0.880000,0.600000,0.950000,1.000000,0.880000,0.600000,0.950000,1.159191,0.880000,0.600000,0.950000,1.318382,0.880000,0.600000,0.950000,1.477573,0.880000,0.600000,0.950000
hepatitis,28,0.120690,0.190171,0.022952,0.800000,0.200000,0.950000,1.000000,0.800000,0.200000,0.950000,1.229516,0.800000,0.200000,0.950000,1.459033,0.800000,0.200000,0.950000,1.688549,0.800000,0.200000,0.950000
hepatitis,29,0.120690,0.138667,0.016736,0.960000,0.800000,1.000000,1.000000,0.960000,0.800000,1.000000,1.167357,0.960000,0.800000,1.000000,1.334715,0.960000,0.800000,1.000000,1.502072,0.960000,0.800000,1.000000
wine,0,0.021978,0.000000,0.000000,0.948718,0.888889,1.000000,1.000000,0.948718,0.888889,1.000000,1.000000,0.948718,0.888889,1.000000,1.000000,0.948718,0.888889,1.000000,1.000000,0.948718,0.888889,1.000000
wine,1,0.021978,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
wine,2,0.032967,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
wine,3,0.021978,0.000000,0.000000,0.974359,1.000000,0.952381,1.000000,0.974359,1.000000,0.952381,1.000000,0.974359,1.000000,0.952381,1.000000,0.974359,1.000000,0.952381,1.000000,0.974359,1.000000,0.952381
wine,4,0.000000,0.000000,0.000000,0.974359,1.000000,0.952381,1.000000,0.974359,1.000000,0.952381,1.000000,0.974359,1.000000,0.952381,1.000000,0.974359,1.000000,0.952381,1.000000,0.974359,1.000000,0.952381
wine,5,0.010989,0.000000,0.000000,0.974359,0.944444,1.000000,1.000000,0.974359,0.944444,1.000000,1.000000,0.974359,0.944444,1.000000,1.000000,0.974359,0.944444,1.000000,1.000000,0.974359,0.944444,1.000000
wine,6,0.021978,0.620098,0.013629,0.974359,1.000000,0.952381,1.000000,0.974359,1.000000,0.952381,1.136285,0.974359,1.000000,0.952381,1.272571,0.974359,1.000000,0.952381,1.408856,0.974359,1.000000,0.952381
wine,7,0.032967,0.359559,0.011854,0.974359,1.000000,0.952381,1.000000,0.974359,1.000000,0.952381,1.118536,0.974359,1.000000,0.952381,1.237072,0.974359,1.000000,0.952381,1.355608,0.974359,1.000000,0.952381
wine,8,0.021978,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
wine,9,0.021978,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
wine,10,0.021978,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
wine,11,0.021978,0.000000,0.000000,0.974359,0.944444,1.000000,1.000000,0.974359,0.944444,1.000000,1.000000,0.974359,0.944444,1.000000,1.000000,0.974359,0.944444,1.000000,1.000000,0.974359,0.944444,1.000000
wine,12,0.032967,0.393085,0.012959,0.974359,1.000000,0.952381,1.000000,0.974359,1.000000,0.952381,1.129588,0.974359,1.000000,0.952381,1.259177,0.974359,1.000000,0.952381,1.388765,0.974359,1.000000,0.952381
wine,13,0.010989,0.000000,0.000000,0.974359,1.000000,0.952381,1.000000,0.974359,1.000000,0.952381,1.000000,0.974359,1.000000,0.952381,1.000000,0.974359,1.000000,0.952381,1.000000,0.974359,1.000000,0.952381
wine,14,0.010989,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
wine,15,0.010989,0.000000,0.000000,0.974359,1.000000,0.952381,1.000000,0.974359,1.000000,0.952381,1.000000,0.974359,1.000000,0.952381,1.000000,0.974359,1.000000,0.952381,1.000000,0.974359,1.000000,0.952381
wine,16,0.021978,0.833333,0.018315,0.974359,0.944444,1.000000,1.000000,0.974359,0.944444,1.000000,1.183150,0.974359,0.944444,1.000000,1.366300,0.974359,0.944444,1.000000,1.549451,0.974359,0.944444,1.000000
wine,17,0.021978,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
wine,18,0.010989,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
wine,19,0.021978,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
wine,20,0.010989,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
wine,21,0.032967,0.250893,0.008271,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.082712,1.000000,1.000000,1.000000,1.165424,1.000000,1.000000,1.000000,1.248136,1.000000,1.000000,1.000000
wine,22,0.032967,0.677443,0.022333,0.974359,1.000000,0.952381,1.000000,0.974359,1.000000,0.952381,1.223333,0.974359,1.000000,0.952381,1.446665,0.974359,1.000000,0.952381,1.669998,0.974359,1.000000,0.952381
wine,23,0.032967,0.629464,0.020752,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.207516,1.000000,1.000000,1.000000,1.415031,1.000000,1.000000,1.000000,1.622547,1.000000,1.000000,1.000000
wine,24,0.032967,0.493750,0.016277,0.974359,1.000000,0.952381,1.000000,0.974359,1.000000,0.952381,1.162775,0.974359,1.000000,0.952381,1.325549,0.974359,1.000000,0.952381,1.488324,0.974359,1.000000,0.952381
wine,25,0.032967,0.503641,0.016604,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.166035,1.000000,1.000000,1.000000,1.332071,1.000000,1.000000,1.000000,1.498106,1.000000,1.000000,1.000000
wine,26,0.021978,0.000000,0.000000,0.974359,1.000000,0.952381,1.000000,0.974359,1.000000,0.952381,1.000000,0.974359,1.000000,0.952381,1.000000,0.974359,1.000000,0.952381,1.000000,0.974359,1.000000,0.952381
wine,27,0.032967,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
wine,28,0.043956,0.469244,0.020626,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.206261,1.000000,1.000000,1.000000,1.412522,1.000000,1.000000,1.000000,1.618783,1.000000,1.000000,1.000000
wine,29,0.010989,0.000000,0.000000,0.974359,1.000000,0.952381,1.000000,0.974359,1.000000,0.952381,1.000000,0.974359,1.000000,0.952381,1.000000,0.974359,1.000000,0.952381,1.000000,0.974359,1.000000,0.952381
heart-disease,0,0.120805,0.049009,0.005921,0.800000,0.375000,0.938776,1.000000,0.800000,0.375000,0.938776,1.059206,0.800000,0.375000,0.938776,1.118411,0.800000,0.375000,0.938776,1.177617,0.800000,0.375000,0.938776
heart-disease,1,0.114094,0.120221,0.013717,0.815385,0.250000,1.000000,1.000000,0.830769,0.312500,1.000000,1.137165,0.830769,0.312500,1.000000,1.274330,0.830769,0.312500,1.000000,1.411495,0.830769,0.312500,1.000000
heart-disease,2,0.167785,0.081602,0.013692,0.753846,0.125000,0.959184,1.000000,0.753846,0.125000,0.959184,1.136917,0.769231,0.187500,0.959184,1.273834,0.769231,0.187500,0.959184,1.410751,0.769231,0.187500,0.959184
heart-disease,3,0.161074,0.083354,0.013426,0.815385,0.375000,0.959184,1.000000,0.815385,0.375000,0.959184,1.134261,0.815385,0.375000,0.959184,1.268522,0.815385,0.375000,0.959184,1.402783,0.815385,0.375000,0.959184
heart-disease,4,0.134228,0.101782,0.013662,0.769231,0.187500,0.959184,1.000000,0.784615,0.187500,0.979592,1.136620,0.784615,0.187500,0.979592,1.273239,0.784615,0.187500,0.979592,1.409859,0.784615,0.187500,0.979592
heart-disease,5,0.147651,0.121296,0.017910,0.784615,0.250000,0.959184,1.000000,0.784615,0.250000,0.959184,1.179095,0.784615,0.250000,0.959184,1.358190,0.784615,0.250000,0.959184,1.537285,0.784615,0.250000,0.959184
heart-disease,6,0.140940,0.100804,0.014207,0.815385,0.437500,0.938776,1.000000,0.800000,0.500000,0.897959,1.142073,0.800000,0.500000,0.897959,1.284147,0.800000,0.500000,0.897959,1.426220,0.800000,0.500000,0.897959
heart-disease,7,0.181208,0.111960,0.020288,0.815385,0.437500,0.938776,1.000000,0.815385,0.437500,0.938776,1.202881,0.815385,0.437500,0.938776,1.405761,0.815385,0.437500,0.938776,1.608642,0.815385,0.437500,0.938776
heart-disease,8,0.134228,0.074755,0.010034,0.753846,0.250000,0.918367,1.000000,0.753846,0.250000,0.918367,1.100342,0.753846,0.250000,0.918367,1.200684,0.753846,0.250000,0.918367,1.301026,0.753846,0.250000,0.918367
heart-disease,9,0.181208,0.087349,0.015828,0.815385,0.312500,0.979592,1.000000,0.815385,0.312500,0.979592,1.158283,0.815385,0.312500,0.979592,1.316566,0.815385,0.312500,0.979592,1.474849,0.815385,0.312500,0.979592
heart-disease,10,0.154362,0.092796,0.014324,0.800000,0.312500,0.959184,1.000000,0.830769,0.375000,0.979592,1.143242,0.830769,0.375000,0.979592,1.286485,0.830769,0.375000,0.979592,1.429727,0.830769,0.375000,0.979592
