dataset,rep,M,S,MS,rf_acc,rf_rmin,rf_rmaj,K0_alpha,K0_acc,K0_rmin,K0_rmaj,K10_alpha,K10_acc,K10_rmin,K10_rmaj,K20_alpha,K20_acc,K20_rmin,K20_rmaj,K30_alpha,K30_acc,K30_rmin,K30_rmaj
ionosphere,13,0.057143,0.041813,0.002389,0.933962,0.894737,0.955882,1.000000,0.933962,0.894737,0.955882,1.023893,0.933962,0.894737,0.955882,1.047787,0.933962,0.894737,0.955882,1.071680,0.933962,0.894737,0.955882
ionosphere,14,0.044898,0.084739,0.003805,0.943396,0.894737,0.970588,1.000000,0.943396,0.894737,0.970588,1.038046,0.943396,0.894737,0.970588,1.076092,0.943396,0.894737,0.970588,1.114138,0.943396,0.894737,0.970588
ionosphere,15,0.044898,0.102062,0.004582,0.981132,0.947368,1.000000,1.000000,0.981132,0.947368,1.000000,1.045824,0.981132,0.947368,1.000000,1.091647,0.981132,0.947368,1.000000,1.137471,0.981132,0.947368,1.000000
ionosphere,16,0.048980,0.146045,0.007153,0.971698,0.921053,1.000000,1.000000,0.971698,0.921053,1.000000,1.071532,0.962264,0.894737,1.000000,1.143065,0.962264,0.894737,1.000000,1.214597,0.962264,0.894737,1.000000
ionosphere,17,0.040816,0.119155,0.004863,0.952830,0.921053,0.970588,1.000000,0.952830,0.921053,0.970588,1.048635,0.952830,0.921053,0.970588,1.097270,0.952830,0.921053,0.970588,1.145904,0.952830,0.921053,0.970588
ionosphere,18,0.044898,0.082340,0.003697,0.915094,0.842105,0.955882,1.000000,0.915094,0.842105,0.955882,1.036969,0.915094,0.842105,0.955882,1.073938,0.915094,0.842105,0.955882,1.110908,0.915094,0.842105,0.955882
ionosphere,19,0.028571,0.228095,0.006517,0.943396,0.868421,0.985294,1.000000,0.943396,0.868421,0.985294,1.065170,0.943396,0.868421,0.985294,1.130340,0.943396,0.868421,0.985294,1.195510,0.943396,0.868421,0.985294
ionosphere,20,0.044898,0.090578,0.004067,0.962264,0.921053,0.985294,1.000000,0.962264,0.921053,0.985294,1.040668,0.962264,0.921053,0.985294,1.081335,0.962264,0.921053,0.985294,1.122003,0.962264,0.921053,0.985294
ionosphere,21,0.036735,0.138600,0.005091,0.886792,0.815789,0.926471,1.000000,0.886792,0.815789,0.926471,1.050914,0.886792,0.815789,0.926471,1.101829,0.886792,0.815789,0.926471,1.152743,0.886792,0.815789,0.926471
ionosphere,22,0.048980,0.107167,0.005249,0.896226,0.789474,0.955882,1.000000,0.896226,0.789474,0.955882,1.052490,0.896226,0.789474,0.955882,1.104979,0.896226,0.789474,0.955882,1.157469,0.896226,0.789474,0.955882
ionosphere,23,0.053061,0.134454,0.007134,0.886792,0.842105,0.911765,1.000000,0.886792,0.842105,0.911765,1.071343,0.886792,0.842105,0.911765,1.142686,0.886792,0.842105,0.911765,1.214029,0.886792,0.842105,0.911765
ionosphere,24,0.028571,0.123494,0.003528,0.905660,0.789474,0.970588,1.000000,0.905660,0.789474,0.970588,1.035284,0.905660,0.789474,0.970588,1.070568,0.905660,0.789474,0.970588,1.105852,0.905660,0.789474,0.970588
ionosphere,25,0.053061,0.147091,0.007805,0.924528,0.868421,0.955882,1.000000,0.915094,0.868421,0.941176,1.078048,0.915094,0.868421,0.941176,1.156096,0.915094,0.868421,0.941176,1.234144,0.915094,0.868421,0.941176
ionosphere,26,0.048980,0.128475,0.006293,0.933962,0.921053,0.941176,1.000000,0.933962,0.921053,0.941176,1.062927,0.933962,0.921053,0.941176,1.125853,0.933962,0.921053,0.941176,1.188780,0.933962,0.921053,0.941176
ionosphere,27,0.053061,0.127815,0.006782,0.971698,0.921053,1.000000,1.000000,0.971698,0.921053,1.000000,1.067820,0.971698,0.921053,1.000000,1.135640,0.971698,0.921053,1.000000,1.203460,0.971698,0.921053,1.000000
ionosphere,28,0.053061,0.094687,0.005024,0.962264,0.894737,1.000000,1.000000,0.952830,0.868421,1.000000,1.050242,0.952830,0.868421,1.000000,1.100484,0.952830,0.868421,1.000000,1.150726,0.952830,0.868421,1.000000
ionosphere,29,0.069388,0.099575,0.006909,0.962264,0.947368,0.970588,1.000000,0.962264,0.947368,0.970588,1.069093,0.962264,0.947368,0.970588,1.138186,0.962264,0.947368,0.970588,1.207279,0.962264,0.947368,0.970588
australian,0,0.078675,0.663647,0.052212,0.859903,0.902174,0.826087,1.000000,0.864734,0.913043,0.826087,1.522124,0.864734,0.913043,0.826087,2.044248,0.864734,0.913043,0.826087,2.566373,0.864734,0.913043,0.826087
australian,1,0.082816,0.388269,0.032155,0.879227,0.880435,0.878261,1.000000,0.879227,0.880435,0.878261,1.321548,0.879227,0.880435,0.878261,1.643096,0.879227,0.880435,0.878261,1.964644,0.879227,0.880435,0.878261
australian,2,0.082816,0.412183,0.034135,0.869565,0.804348,0.921739,1.000000,0.874396,0.815217,0.921739,1.341352,0.874396,0.815217,0.921739,1.682705,0.874396,0.815217,0.921739,2.024057,0.874396,0.815217,0.921739
australian,3,0.074534,0.334953,0.024965,0.869565,0.902174,0.843478,1.000000,0.869565,0.902174,0.843478,1.249654,0.869565,0.902174,0.843478,1.499308,0.869565,0.902174,0.843478,1.748962,0.869565,0.902174,0.843478
australian,4,0.057971,0.348488,0.020202,0.826087,0.826087,0.826087,1.000000,0.821256,0.826087,0.817391,1.202022,0.826087,0.836957,0.817391,1.404044,0.826087,0.836957,0.817391,1.606067,0.821256,0.836957,0.808696
australian,5,0.086957,0.284708,0.024757,0.859903,0.826087,0.886957,1.000000,0.855072,0.826087,0.878261,1.247572,0.855072,0.826087,0.878261,1.495144,0.855072,0.826087,0.878261,1.742717,0.855072,0.826087,0.878261
australian,6,0.099379,0.396799,0.039433,0.913043,0.913043,0.913043,1.000000,0.908213,0.913043,0.904348,1.394335,0.903382,0.902174,0.904348,1.788669,0.898551,0.891304,0.904348,2.183004,0.884058,0.869565,0.895652
australian,7,0.060041,0.495509,0.029751,0.845411,0.847826,0.843478,1.000000,0.840580,0.847826,0.834783,1.297511,0.840580,0.847826,0.834783,1.595021,0.840580,0.847826,0.834783,1.892532,0.840580,0.847826,0.834783
australian,8,0.089027,0.750511,0.066816,0.855072,0.836957,0.869565,1.000000,0.855072,0.847826,0.860870,1.668157,0.855072,0.847826,0.860870,2.336314,0.859903,0.847826,0.869565,3.004471,0.859903,0.847826,0.869565
australian,9,0.084886,0.875000,0.074275,0.893720,0.891304,0.895652,1.000000,0.893720,0.902174,0.886957,1.742754,0.888889,0.891304,0.886957,2.485507,0.888889,0.891304,0.886957,3.228261,0.888889,0.891304,0.886957
australian,10,0.084886,0.479819,0.040730,0.888889,0.880435,0.895652,1.000000,0.893720,0.891304,0.895652,1.407300,0.893720,0.891304,0.895652,1.814600,0.893720,0.891304,0.895652,2.221900,0.893720,0.891304,0.895652
australian,11,0.086957,0.144637,0.012577,0.874396,0.858696,0.886957,1.000000,0.869565,0.847826,0.886957,1.125771,0.874396,0.858696,0.886957,1.251542,0.874396,0.858696,0.886957,1.377313,0.874396,0.858696,0.886957
australian,12,0.089027,0.464286,0.041334,0.888889,0.880435,0.895652,1.000000,0.888889,0.880435,0.895652,1.413339,0.888889,0.880435,0.895652,1.826678,0.888889,0.880435,0.895652,2.240018,0.888889,0.880435,0.895652
australian,13,0.089027,0.270149,0.024051,0.898551,0.869565,0.921739,1.000000,0.898551,0.869565,0.921739,1.240506,0.898551,0.869565,0.921739,1.481011,0.898551,0.869565,0.921739,1.721517,0.898551,0.869565,0.921739
australian,14,0.072464,0.133642,0.009684,0.864734,0.913043,0.826087,1.000000,0.869565,0.923913,0.826087,1.096842,0.869565,0.923913,0.826087,1.193684,0.869565,0.923913,0.826087,1.290527,0.864734,0.923913,0.817391
australian,15,0.074534,0.203410,0.015161,0.859903,0.880435,0.843478,1.000000,0.855072,0.869565,0.843478,1.151610,0.855072,0.869565,0.843478,1.303220,0.855072,0.869565,0.843478,1.454830,0.855072,0.869565,0.843478
australian,16,0.076605,0.595441,0.045613,0.884058,0.847826,0.913043,1.000000,0.884058,0.847826,0.913043,1.456135,0.884058,0.847826,0.913043,1.912270,0.884058,0.847826,0.913043,2.368405,0.884058,0.847826,0.913043
australian,17,0.091097,0.355818,0.032414,0.869565,0.793478,0.930435,1.000000,0.874396,0.804348,0.930435,1.324141,0.879227,0.815217,0.930435,1.648282,0.879227,0.815217,0.930435,1.972423,0.879227,0.815217,0.930435
australian,18,0.082816,0.427778,0.035427,0.869565,0.891304,0.852174,1.000000,0.869565,0.891304,0.852174,1.354267,0.869565,0.891304,0.852174,1.708535,0.869565,0.891304,0.852174,2.062802,0.869565,0.891304,0.852174
australian,19,0.082816,0.315437,0.026123,0.869565,0.836957,0.895652,1.000000,0.879227,0.858696,0.895652,1.261232,0.879227,0.858696,0.895652,1.522463,0.879227,0.858696,0.895652,1.783695,0.879227,0.858696,0.895652
australian,20,0.093168,0.514647,0.047948,0.869565,0.869565,0.869565,1.000000,0.869565,0.869565,0.869565,1.479485,0.869565,0.869565,0.869565,1.958970,0.869565,0.869565,0.869565,2.438455,0.869565,0.869565,0.869565
australian,21,0.084886,0.170506,0.014474,0.869565,0.869565,0.869565,1.000000,0.874396,0.880435,0.869565,1.144736,0.874396,0.880435,0.869565,1.289472,0.874396,0.880435,0.869565,1.434208,0.874396,0.880435,0.869565
australian,22,0.099379,0.483333,0.048033,0.893720,0.923913,0.869565,1.000000,0.893720,0.923913,0.869565,1.480331,0.893720,0.923913,0.869565,1.960663,0.893720,0.923913,0.869565,2.440994,0.893720,0.923913,0.869565
australian,23,0.078675,0.287823,0.022644,0.869565,0.880435,0.860870,1.000000,0.869565,0.880435,0.860870,1.226444,0.869565,0.880435,0.860870,1.452889,0.869565,0.880435,0.860870,1.679333,0.869565,0.880435,0.860870
australian,24,0.093168,0.505061,0.047055,0.864734,0.869565,0.860870,1.000000,0.864734,0.869565,0.860870,1.470554,0.869565,0.880435,0.860870,1.941108,0.869565,0.880435,0.860870,2.411662,0.869565,0.880435,0.860870
australian,25,0.086957,0.374328,0.032550,0.869565,0.826087,0.904348,1.000000,0.869565,0.826087,0.904348,1.325502,0.869565,0.826087,0.904348,1.651005,0.869565,0.826087,0.904348,1.976507,0.869565,0.826087,0.904348
australian,26,0.089027,0.051558,0.004590,0.835749,0.782609,0.878261,1.000000,0.835749,0.782609,0.878261,1.045900,0.835749,0.782609,0.878261,1.091800,0.835749,0.782609,0.878261,1.137701,0.835749,0.782609,0.878261
australian,27,0.086957,0.075637,0.006577,0.864734,0.869565,0.860870,1.000000,0.869565,0.869565,0.869565,1.065772,0.869565,0.869565,0.869565,1.131543,0.869565,0.869565,0.869565,1.197315,0.864734,0.858696,0.869565
australian,28,0.084886,0.068492,0.005814,0.922705,0.913043,0.930435,1.000000,0.917874,0.902174,0.930435,1.058140,0.917874,0.902174,0.930435,1.116280,0.917874,0.902174,0.930435,1.174420,0.917874,0.902174,0.930435
australian,29,0.086957,0.341667,0.029710,0.850242,0.869565,0.834783,1.000000,0.845411,0.869565,0.826087,1.297101,0.845411,0.869565,0.826087,1.594203,0.850242,0.869565,0.834783,1.891304,0.845411,0.869565,0.826087
breast-w,0,0.018828,0.121321,0.002284,0.960976,0.958333,0.962406,1.000000,0.956098,0.944444,0.962406,1.022843,0.956098,0.944444,0.962406,1.045686,0.956098,0.944444,0.962406,1.068529,0.956098,0.944444,0.962406
breast-w,1,0.018828,0.061396,0.001156,0.980488,0.972222,0.984962,1.000000,0.980488,0.972222,0.984962,1.011560,0.980488,0.972222,0.984962,1.023120,0.980488,0.972222,0.984962,1.034679,0.980488,0.972222,0.984962
breast-w,2,0.033473,0.179367,0.006004,0.975610,0.972222,0.977444,1.000000,0.975610,0.972222,0.977444,1.060039,0.975610,0.972222,0.977444,1.120078,0.975610,0.972222,0.977444,1.180118,0.975610,0.972222,0.977444
breast-w,3,0.018828,0.087880,0.001655,0.965854,0.986111,0.954887,1.000000,0.965854,0.986111,0.954887,1.016546,0.965854,0.986111,0.954887,1.033093,0.965854,0.986111,0.954887,1.049639,0.965854,0.986111,0.954887
breast-w,4,0.027197,0.171466,0.004663,0.970732,0.958333,0.977444,1.000000,0.975610,0.972222,0.977444,1.046633,0.975610,0.972222,0.977444,1.093266,0.975610,0.972222,0.977444,1.139899,0.975610,0.972222,0.977444
breast-w,5,0.025105,0.073805,0.001853,0.956098,0.944444,0.962406,1.000000,0.956098,0.944444,0.962406,1.018528,0.956098,0.944444,0.962406,1.037057,0.956098,0.944444,0.962406,1.055585,0.956098,0.944444,0.962406
breast-w,6,0.018828,0.092811,0.001747,0.975610,0.972222,0.977444,1.000000,0.975610,0.972222,0.977444,1.017475,0.975610,0.972222,0.977444,1.034950,0.975610,0.972222,0.977444,1.052425,0.975610,0.972222,0.977444
breast-w,7,0.016736,0.224819,0.003763,0.970732,0.986111,0.962406,1.000000,0.965854,0.986111,0.954887,1.037627,0.965854,0.986111,0.954887,1.075253,0.965854,0.986111,0.954887,1.112880,0.965854,0.986111,0.954887
breast-w,8,0.014644,0.206377,0.003022,0.965854,0.930556,0.984962,1.000000,0.960976,0.930556,0.977444,1.030223,0.956098,0.930556,0.969925,1.060445,0.956098,0.930556,0.969925,1.090668,0.956098,0.930556,0.969925
breast-w,9,0.020921,0.154549,0.003233,0.970732,0.958333,0.977444,1.000000,0.970732,0.958333,0.977444,1.032332,0.970732,0.958333,0.977444,1.064665,0.970732,0.958333,0.977444,1.096997,0.970732,0.958333,0.977444
breast-w,10,0.012552,0.193769,0.002432,0.970732,0.972222,0.969925,1.000000,0.975610,0.972222,0.977444,1.024322,0.975610,0.972222,0.977444,1.048645,0.975610,0.972222,0.977444,1.072967,0.975610,0.972222,0.977444
breast-w,11,0.025105,0.223943,0.005622,0.985366,1.000000,0.977444,1.000000,0.985366,1.000000,0.977444,1.056220,0.985366,1.000000,0.977444,1.112440,0.985366,1.000000,0.977444,1.168660,0.985366,1.000000,0.977444
breast-w,12,0.025105,0.107075,0.002688,0.975610,0.958333,0.984962,1.000000,0.975610,0.958333,0.984962,1.026881,0.975610,0.958333,0.984962,1.053762,0.975610,0.958333,0.984962,1.080642,0.975610,0.958333,0.984962
breast-w,13,0.016736,0.135376,0.002266,0.970732,0.986111,0.962406,1.000000,0.970732,0.986111,0.962406,1.022657,0.970732,0.986111,0.962406,1.045314,0.970732,0.986111,0.962406,1.067971,0.970732,0.986111,0.962406
breast-w,14,0.025105,0.281360,0.007063,0.980488,0.958333,0.992481,1.000000,0.980488,0.958333,0.992481,1.070634,0.980488,0.958333,0.992481,1.141269,0.980488,0.958333,0.992481,1.211903,0.975610,0.944444,0.992481
breast-w,15,0.014644,0.138095,0.002022,0.960976,0.958333,0.962406,1.000000,0.960976,0.958333,0.962406,1.020223,0.960976,0.958333,0.962406,1.040446,0.960976,0.958333,0.962406,1.060669,0.960976,0.958333,0.962406
breast-w,16,0.018828,0.199404,0.003754,0.985366,0.986111,0.984962,1.000000,0.985366,0.986111,0.984962,1.037545,0.985366,0.986111,0.984962,1.075089,0.985366,0.986111,0.984962,1.112634,0.985366,0.986111,0.984962
breast-w,17,0.014644,0.085352,0.001250,0.970732,1.000000,0.954887,1.000000,0.970732,1.000000,0.954887,1.012499,0.970732,1.000000,0.954887,1.024998,0.970732,1.000000,0.954887,1.037498,0.970732,1.000000,0.954887
breast-w,18,0.023013,0.154746,0.003561,0.980488,0.972222,0.984962,1.000000,0.980488,0.972222,0.984962,1.035611,0.980488,0.972222,0.984962,1.071222,0.980488,0.972222,0.984962,1.106833,0.980488,0.972222,0.984962
breast-w,19,0.020921,0.095872,0.002006,0.970732,0.944444,0.984962,1.000000,0.975610,0.958333,0.984962,1.020057,0.975610,0.958333,0.984962,1.040114,0.975610,0.958333,0.984962,1.060171,0.975610,0.958333,0.984962
breast-w,20,0.016736,0.241641,0.004044,0.960976,0.972222,0.954887,1.000000,0.960976,0.972222,0.954887,1.040442,0.960976,0.972222,0.954887,1.080884,0.960976,0.972222,0.954887,1.121326,0.960976,0.972222,0.954887
breast-w,21,0.029289,0.226546,0.006635,0.965854,0.944444,0.977444,1.000000,0.965854,0.944444,0.977444,1.066352,0.965854,0.944444,0.977444,1.132705,0.965854,0.944444,0.977444,1.199057,0.965854,0.944444,0.977444
breast-w,22,0.023013,0.083792,0.001928,0.975610,0.972222,0.977444,1.000000,0.975610,0.972222,0.977444,1.019283,0.975610,0.972222,0.977444,1.038565,0.975610,0.972222,0.977444,1.057848,0.975610,0.972222,0.977444
breast-w,23,0.016736,0.208689,0.003493,0.975610,1.000000,0.962406,1.000000,0.975610,1.000000,0.962406,1.034927,0.975610,1.000000,0.962406,1.069854,0.975610,1.000000,0.962406,1.104781,0.975610,1.000000,0.962406
breast-w,24,0.016736,0.059963,0.001004,0.960976,0.972222,0.954887,1.000000,0.970732,1.000000,0.954887,1.010036,0.970732,1.000000,0.954887,1.020071,0.970732,1.000000,0.954887,1.030107,0.970732,1.000000,0.954887
breast-w,25,0.027197,0.100549,0.002735,0.970732,0.972222,0.969925,1.000000,0.970732,0.972222,0.969925,1.027346,0.970732,0.972222,0.969925,1.054692,0.970732,0.972222,0.969925,1.082038,0.970732,0.972222,0.969925
breast-w,26,0.031381,0.200626,0.006296,0.965854,0.944444,0.977444,1.000000,0.965854,0.944444,0.977444,1.062958,0.965854,0.944444,0.977444,1.125916,0.965854,0.944444,0.977444,1.188874,0.965854,0.944444,0.977444
breast-w,27,0.027197,0.045493,0.001237,0.985366,0.972222,0.992481,1.000000,0.985366,0.972222,0.992481,1.012373,0.985366,0.972222,0.992481,1.024745,0.985366,0.972222,0.992481,1.037118,0.985366,0.972222,0.992481
breast-w,28,0.023013,0.071142,0.001637,0.965854,0.930556,0.984962,1.000000,0.965854,0.930556,0.984962,1.016372,0.965854,0.930556,0.984962,1.032743,0.965854,0.930556,0.984962,1.049115,0.965854,0.930556,0.984962
breast-w,29,0.012552,0.181414,0.002277,0.965854,0.916667,0.992481,1.000000,0.965854,0.916667,0.992481,1.022772,0.965854,0.916667,0.992481,1.045543,0.965854,0.916667,0.992481,1.068315,0.965854,0.916667,0.992481
transfusion,0,0.082218,0.133273,0.010957,0.706667,0.351852,0.818713,1.000000,0.746667,0.425926,0.847953,1.109575,0.751111,0.425926,0.853801,1.219149,0.751111,0.425926,0.853801,1.328724,0.755556,0.425926,0.859649
transfusion,1,0.101338,0.232718,0.023583,0.728889,0.222222,0.888889,1.000000,0.733333,0.240741,0.888889,1.235833,0.733333,0.222222,0.894737,1.471666,0.742222,0.240741,0.900585,1.707499,0.742222,0.240741,0.900585
transfusion,2,0.084130,0.358501,0.030161,0.768889,0.240741,0.935673,1.000000,0.786667,0.296296,0.941520,1.301607,0.782222,0.296296,0.935673,1.603213,0.786667,0.314815,0.935673,1.904820,0.786667,0.314815,0.935673
transfusion,3,0.101338,0.308743,0.031288,0.782222,0.444444,0.888889,1.000000,0.804444,0.462963,0.912281,1.312875,0.800000,0.444444,0.912281,1.625750,0.800000,0.444444,0.912281,1.938625,0.804444,0.481481,0.906433
transfusion,4,0.057361,0.291475,0.016719,0.715556,0.277778,0.853801,1.000000,0.733333,0.351852,0.853801,1.167194,0.733333,0.351852,0.853801,1.334388,0.742222,0.370370,0.859649,1.501583,0.742222,0.370370,0.859649
transfusion,5,0.105163,0.327946,0.034488,0.760000,0.277778,0.912281,1.000000,0.782222,0.259259,0.947368,1.344876,0.777778,0.277778,0.935673,1.689752,0.777778,0.277778,0.935673,2.034628,0.777778,0.277778,0.935673
transfusion,6,0.089866,0.224776,0.020200,0.733333,0.259259,0.883041,1.000000,0.746667,0.277778,0.894737,1.201997,0.746667,0.296296,0.888889,1.403995,0.746667,0.333333,0.877193,1.605992,0.746667,0.351852,0.871345
transfusion,7,0.122371,0.168312,0.020597,0.728889,0.333333,0.853801,1.000000,0.737778,0.314815,0.871345,1.205966,0.737778,0.314815,0.871345,1.411931,0.737778,0.314815,0.871345,1.617897,0.733333,0.314815,0.865497
transfusion,8,0.086042,0.129178,0.011115,0.724444,0.277778,0.865497,1.000000,0.737778,0.333333,0.865497,1.111147,0.746667,0.333333,0.877193,1.222295,0.760000,0.333333,0.894737,1.333442,0.760000,0.333333,0.894737
transfusion,9,0.080306,0.420811,0.033794,0.773333,0.388889,0.894737,1.000000,0.782222,0.407407,0.900585,1.337936,0.782222,0.425926,0.894737,1.675872,0.782222,0.407407,0.900585,2.013808,0.791111,0.407407,0.912281
transfusion,10,0.093690,0.320735,0.030050,0.702222,0.203704,0.859649,1.000000,0.724444,0.240741,0.877193,1.300497,0.724444,0.259259,0.871345,1.600995,0.720000,0.259259,0.865497,1.901492,0.724444,0.259259,0.871345
transfusion,11,0.089866,0.206370,0.018546,0.751111,0.370370,0.871345,1.000000,0.751111,0.370370,0.871345,1.185456,0.751111,0.370370,0.871345,1.370913,0.755556,0.370370,0.877193,1.556369,0.755556,0.370370,0.877193
transfusion,12,0.091778,0.241566,0.022171,0.760000,0.444444,0.859649,1.000000,0.777778,0.481481,0.871345,1.221705,0.777778,0.500000,0.865497,1.443410,0.777778,0.500000,0.865497,1.665116,0.786667,0.537037,0.865497
transfusion,13,0.103250,0.382112,0.039453,0.702222,0.296296,0.830409,1.000000,0.715556,0.296296,0.847953,1.394533,0.733333,0.296296,0.871345,1.789065,0.742222,0.333333,0.871345,2.183598,0.742222,0.351852,0.865497
transfusion,14,0.101338,0.240893,0.024412,0.737778,0.296296,0.877193,1.000000,0.746667,0.314815,0.883041,1.244118,0.746667,0.314815,0.883041,1.488235,0.746667,0.351852,0.871345,1.732353,0.742222,0.351852,0.865497
transfusion,15,0.078394,0.273741,0.021460,0.755556,0.388889,0.871345,1.000000,0.764444,0.388889,0.883041,1.214596,0.760000,0.407407,0.871345,1.429192,0.755556,0.425926,0.859649,1.643789,0.764444,0.444444,0.865497
transfusion,16,0.095602,0.537946,0.051429,0.728889,0.370370,0.842105,1.000000,0.773333,0.388889,0.894737,1.514288,0.768889,0.388889,0.888889,2.028577,0.768889,0.388889,0.888889,2.542865,0.768889,0.388889,0.888889
transfusion,17,0.101338,0.232720,0.023583,0.773333,0.259259,0.935673,1.000000,0.782222,0.314815,0.929825,1.235834,0.777778,0.314815,0.923977,1.471669,0.782222,0.314815,0.929825,1.707503,0.786667,0.333333,0.929825
transfusion,18,0.082218,0.050540,0.004155,0.764444,0.351852,0.894737,1.000000,0.777778,0.370370,0.906433,1.041553,0.777778,0.370370,0.906433,1.083107,0.777778,0.370370,0.906433,1.124660,0.777778,0.370370,0.906433
transfusion,19,0.080306,0.440082,0.035341,0.724444,0.333333,0.847953,1.000000,0.737778,0.351852,0.859649,1.353412,0.742222,0.351852,0.865497,1.706823,0.751111,0.351852,0.877193,2.060235,0.760000,0.351852,0.888889
transfusion,20,0.084130,0.187401,0.015766,0.742222,0.296296,0.883041,1.000000,0.742222,0.296296,0.883041,1.157660,0.751111,0.296296,0.894737,1.315320,0.751111,0.296296,0.894737,1.472981,0.751111,0.296296,0.894737
transfusion,21,0.103250,0.256788,0.026514,0.791111,0.388889,0.918129,1.000000,0.786667,0.370370,0.918129,1.265135,0.786667,0.370370,0.918129,1.530271,0.791111,0.370370,0.923977,1.795406,0.791111,0.370370,0.923977
transfusion,22,0.078394,0.350724,0.027495,0.737778,0.333333,0.865497,1.000000,0.733333,0.351852,0.853801,1.274946,0.737778,0.370370,0.853801,1.549892,0.751111,0.388889,0.865497,1.824839,0.751111,0.388889,0.865497
transfusion,23,0.070746,0.109294,0.007732,0.733333,0.314815,0.865497,1.000000,0.746667,0.388889,0.859649,1.077321,0.746667,0.388889,0.859649,1.154642,0.746667,0.388889,0.859649,1.231962,0.746667,0.388889,0.859649
transfusion,24,0.101338,0.085574,0.008672,0.742222,0.351852,0.865497,1.000000,0.751111,0.351852,0.877193,1.086720,0.751111,0.351852,0.877193,1.173440,0.755556,0.351852,0.883041,1.260159,0.755556,0.351852,0.883041
transfusion,25,0.082218,0.203995,0.016772,0.773333,0.333333,0.912281,1.000000,0.782222,0.388889,0.906433,1.167721,0.791111,0.407407,0.912281,1.335441,0.791111,0.407407,0.912281,1.503162,0.791111,0.407407,0.912281
transfusion,26,0.110899,0.184507,0.020462,0.751111,0.351852,0.877193,1.000000,0.751111,0.370370,0.871345,1.204616,0.755556,0.388889,0.871345,1.409231,0.760000,0.425926,0.865497,1.613847,0.760000,0.425926,0.865497
transfusion,27,0.093690,0.254972,0.023888,0.773333,0.314815,0.918129,1.000000,0.782222,0.314815,0.929825,1.238884,0.782222,0.314815,0.929825,1.477768,0.791111,0.333333,0.935673,1.716652,0.786667,0.333333,0.929825
transfusion,28,0.084130,0.316612,0.026637,0.746667,0.240741,0.906433,1.000000,0.751111,0.259259,0.906433,1.266366,0.755556,0.259259,0.912281,1.532732,0.751111,0.259259,0.906433,1.799098,0.755556,0.277778,0.906433
transfusion,29,0.087954,0.416933,0.036671,0.728889,0.351852,0.847953,1.000000,0.751111,0.444444,0.847953,1.366710,0.742222,0.481481,0.824561,1.733420,0.751111,0.481481,0.836257,2.100130,0.764444,0.500000,0.847953
diabetes,0,0.197393,0.046179,0.009115,0.757576,0.555556,0.866667,1.000000,0.757576,0.555556,0.866667,1.091155,0.757576,0.555556,0.866667,1.182309,0.757576,0.555556,0.866667,1.273464,0.757576,0.555556,0.866667
diabetes,1,0.201117,0.097497,0.019608,0.796537,0.654321,0.873333,1.000000,0.792208,0.641975,0.873333,1.196084,0.792208,0.641975,0.873333,1.392168,0.792208,0.641975,0.873333,1.588252,0.792208,0.641975,0.873333
diabetes,2,0.178771,0.036893,0.006595,0.744589,0.493827,0.880000,1.000000,0.744589,0.493827,0.880000,1.065955,0.744589,0.493827,0.880000,1.131909,0.744589,0.493827,0.880000,1.197864,0.744589,0.493827,0.880000
diabetes,3,0.208566,0.069528,0.014501,0.779221,0.617284,0.866667,1.000000,0.779221,0.617284,0.866667,1.145012,0.774892,0.604938,0.866667,1.290023,0.774892,0.604938,0.866667,1.435035,0.774892,0.604938,0.866667
diabetes,4,0.162011,0.105371,0.017071,0.783550,0.617284,0.873333,1.000000,0.783550,0.617284,0.873333,1.170712,0.787879,0.629630,0.873333,1.341425,0.783550,0.629630,0.866667,1.512137,0.783550,0.629630,0.866667
diabetes,5,0.167598,0.050108,0.008398,0.761905,0.567901,0.866667,1.000000,0.761905,0.580247,0.860000,1.083981,0.761905,0.580247,0.860000,1.167961,0.761905,0.580247,0.860000,1.251942,0.761905,0.580247,0.860000
diabetes,6,0.199255,0.068556,0.013660,0.766234,0.629630,0.840000,1.000000,0.761905,0.629630,0.833333,1.136600,0.761905,0.629630,0.833333,1.273201,0.757576,0.629630,0.826667,1.409801,0.757576,0.629630,0.826667
diabetes,7,0.191806,0.066272,0.012711,0.779221,0.555556,0.900000,1.000000,0.770563,0.543210,0.893333,1.127114,0.766234,0.543210,0.886667,1.254227,0.766234,0.543210,0.886667,1.381341,0.766234,0.543210,0.886667
diabetes,8,0.184358,0.088516,0.016319,0.757576,0.555556,0.866667,1.000000,0.761905,0.555556,0.873333,1.163186,0.761905,0.555556,0.873333,1.326372,0.761905,0.555556,0.873333,1.489559,0.761905,0.555556,0.873333
diabetes,9,0.208566,0.098002,0.020440,0.770563,0.666667,0.826667,1.000000,0.770563,0.666667,0.826667,1.204399,0.770563,0.666667,0.826667,1.408799,0.770563,0.666667,0.826667,1.613198,0.770563,0.666667,0.826667
diabetes,10,0.223464,0.089500,0.020000,0.779221,0.604938,0.873333,1.000000,0.774892,0.592593,0.873333,1.200001,0.774892,0.592593,0.873333,1.400002,0.774892,0.592593,0.873333,1.600003,0.774892,0.592593,0.873333
