dataset,region,class,best_pattern,best_acc,n_valid_patterns
breast-w,"[.5,.6)",maj,noflip,0.2931,3
breast-w,"[.5,.6)",min,early_sw,0.5498,4
breast-w,"[.6,.7)",maj,noflip,0.6368,3
breast-w,"[.6,.7)",min,other,0.7917,4
breast-w,"[.7,.8)",maj,noflip,0.8106,3
breast-w,"[.7,.8)",min,other,0.9347,4
breast-w,"[.8,.9)",maj,noflip,1.0000,3
breast-w,"[.8,.9)",min,other,0.9601,4
breast-w,"[.9,1.]",maj,noflip,0.9974,3
breast-w,"[.9,1.]",min,early_sw,0.9797,4
transfusion,"[.5,.6)",maj,noflip,0.7074,3
transfusion,"[.5,.6)",min,early_sw,0.5497,4
transfusion,"[.6,.7)",maj,noflip,0.8769,3
transfusion,"[.6,.7)",min,early_sw,0.6333,4
transfusion,"[.7,.8)",maj,noflip,0.7745,3
transfusion,"[.7,.8)",min,early_sw,0.5453,4
transfusion,"[.8,.9)",maj,noflip,0.7594,3
transfusion,"[.8,.9)",min,late_sw,0.5042,4
transfusion,"[.9,1.]",maj,noflip,0.8940,3
transfusion,"[.9,1.]",min,early_sw,1.0000,4
diabetes,"[.5,.6)",maj,noflip,0.5184,3
diabetes,"[.5,.6)",min,early_sw,0.4718,4
diabetes,"[.6,.7)",maj,noflip,0.6289,3
diabetes,"[.6,.7)",min,early_sw,0.7712,4
diabetes,"[.7,.8)",maj,noflip,0.7801,3
diabetes,"[.7,.8)",min,early_sw,0.8146,4
diabetes,"[.8,.9)",maj,noflip,0.8146,3
diabetes,"[.8,.9)",min,oscillat,0.7866,4
diabetes,"[.9,1.]",maj,noflip,0.9838,3
diabetes,"[.9,1.]",min,late_sw,0.8632,4
wdbc,"[.5,.6)",maj,recover,0.4544,3
wdbc,"[.5,.6)",min,early_sw,0.2674,4
wdbc,"[.6,.7)",maj,recover,0.7967,3
wdbc,"[.6,.7)",min,late_sw,0.8000,4
wdbc,"[.7,.8)",maj,recover,0.9699,3
wdbc,"[.7,.8)",min,late_sw,0.8824,4
wdbc,"[.8,.9)",maj,recover,0.9680,3
wdbc,"[.8,.9)",min,early_sw,1.0000,4
wdbc,"[.9,1.]",maj,noflip,0.9892,3
wdbc,"[.9,1.]",min,early_sw,1.0000,4
banknote,"[.5,.6)",maj,oscillat,0.2927,3
banknote,"[.5,.6)",min,late_sw,0.3659,4
banknote,"[.6,.7)",maj,oscillat,0.8204,3
banknote,"[.6,.7)",min,other,0.9231,4
banknote,"[.7,.8)",maj,oscillat,0.9789,3
banknote,"[.7,.8)",min,other,0.9825,4
banknote,"[.8,.9)",maj,noflip,1.0000,3
banknote,"[.8,.9)",min,early_sw,1.0000,4
banknote,"[.9,1.]",maj,noflip,1.0000,3
banknote,"[.9,1.]",min,early_sw,1.0000,4
german-credit,"[.5,.6)",maj,noflip,0.4898,3
german-credit,"[.5,.6)",min,early_sw,0.4655,4
german-credit,"[.6,.7)",maj,noflip,0.6653,3
german-credit,"[.6,.7)",min,late_sw,0.7416,4
german-credit,"[.7,.8)",maj,noflip,0.7948,3
german-credit,"[.7,.8)",min,early_sw,0.7935,4
german-credit,"[.8,.9)",maj,noflip,0.8991,3
german-credit,"[.8,.9)",min,early_sw,1.0000,4
german-credit,"[.9,1.]",maj,noflip,0.9764,3
german-credit,"[.9,1.]",min,,,0
tic-tac-toe,"[.5,.6)",maj,oscillat,0.1260,3
tic-tac-toe,"[.5,.6)",min,late_sw,0.4262,4
tic-tac-toe,"[.6,.7)",maj,recover,0.7152,3
tic-tac-toe,"[.6,.7)",min,early_sw,1.0000,4
tic-tac-toe,"[.7,.8)",maj,recover,0.9905,3
tic-tac-toe,"[.7,.8)",min,early_sw,1.0000,4
tic-tac-toe,"[.8,.9)",maj,noflip,1.0000,3
tic-tac-toe,"[.8,.9)",min,early_sw,1.0000,4
tic-tac-toe,"[.9,1.]",maj,noflip,1.0000,3
tic-tac-toe,"[.9,1.]",min,early_sw,1.0000,4
